method,scenario,metric,direction,mean_stress_minus_baseline,bootstrap_ci95_low,bootstrap_ci95_high,paired_runs,bootstrap_resamples
additive_cij_louvain_matched_density,exact_transport_copy_2x,fake_absorption_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain_matched_density,exact_transport_copy_2x,fake_rejection_rate_all,descriptive,0.0,0.0,0.0,40,5000
additive_cij_louvain_matched_density,exact_transport_copy_2x,genuine_rejection_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain_matched_density,exact_transport_copy_2x,false_destination_rate_all,lower,0.42128759398496207,-0.501976794007077,1.3761834503538253,40,5000
additive_cij_louvain_matched_density,exact_transport_copy_2x,retained_edge_fraction,descriptive,-0.014490849462635208,-0.014718555683860891,-0.014268495988751866,40,5000
additive_cij_louvain_matched_density,exact_transport_copy_2x,mean_degree,descriptive,0.41695295924048315,0.383979609333188,0.45172735435473954,40,5000
additive_cij_louvain_matched_density,exact_transport_copy_5x,ari_original,higher,-0.6056588517852184,-0.626143993153025,-0.5845991934056595,40,5000
additive_cij_louvain_matched_density,exact_transport_copy_5x,pair_f1_original,higher,-0.5986030518912969,-0.6178757245868055,-0.5790802443010276,40,5000
additive_cij_louvain_matched_density,exact_transport_copy_5x,ari_all,higher,-0.5567361374554516,-0.5767335429697217,-0.5356664362081954,40,5000
additive_cij_louvain_matched_density,exact_transport_copy_5x,pair_f1_all,higher,-0.5479136454266715,-0.5669064205283626,-0.5281219006425919,40,5000
additive_cij_louvain_matched_density,exact_transport_copy_5x,fake_absorption_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain_matched_density,exact_transport_copy_5x,fake_rejection_rate_all,descriptive,0.0,0.0,0.0,40,5000
additive_cij_louvain_matched_density,exact_transport_copy_5x,genuine_rejection_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain_matched_density,exact_transport_copy_5x,false_destination_rate_all,lower,2.0618545725935613,1.0147324601111454,3.083288383129633,40,5000
additive_cij_louvain_matched_density,exact_transport_copy_5x,retained_edge_fraction,descriptive,-0.02405732675639232,-0.024429891948890895,-0.023688609336142863,40,5000
additive_cij_louvain_matched_density,exact_transport_copy_5x,mean_degree,descriptive,0.19901551577293364,0.15797837881976812,0.24099307403461134,40,5000
product_cij_leiden,gps_noise_100m,ari_original,higher,-0.011783124634507956,-0.018807534148247193,-0.004766480418852016,40,5000
product_cij_leiden,gps_noise_100m,pair_f1_original,higher,-0.010941918775207931,-0.017321535800777714,-0.004450166378124938,40,5000
product_cij_leiden,gps_noise_100m,ari_all,higher,-0.011783124634507956,-0.019082457623297067,-0.004646057863022002,40,5000
product_cij_leiden,gps_noise_100m,pair_f1_all,higher,-0.010941918775207931,-0.017438157436903055,-0.004377080114910061,40,5000
