ari_all,ari_original,contaminated_destinations_all,contaminated_destinations_original,fake_absorption_rate_all,fake_absorption_rate_original,fake_only_destinations_all,fake_only_destinations_original,fake_rejection_rate_all,fake_rejection_rate_original,false_destination_rate_all,false_destination_rate_original,genuine_rejection_rate_all,genuine_rejection_rate_original,mean_degree,method,n_clusters_all,n_clusters_original,n_edges,n_evaluated_reports,n_original_reports,n_unassigned_all,n_unassigned_original,nmi_all,nmi_original,pair_f1_all,pair_f1_original,retained_edge_fraction,run_id,runtime_seconds,scenario,seed,threshold
0.7170173915508801,0.7170173915508801,0,0,0.0,0.0,3,3,0.0,0.0,20.0,20.0,0.0,0.0,10.025157232704403,product_cij_louvain,15,15,1594.0,318,318,0,0,0.9146293516297239,0.9146293516297239,0.7390593789722172,0.7390593789722172,0.03162510168045553,run_041,0.06313526200028718,gps_noise_300m,41,0.1862264350048631
0.772378067059038,0.772378067059038,0,0,0.0,0.0,3,3,0.0,0.0,17.647058823529413,17.647058823529413,0.0,0.0,9.584905660377359,additive_cij_louvain,17,17,1524.0,318,318,0,0,0.9252520040786077,0.9252520040786077,0.7892147215115135,0.7892147215115135,0.030236295458603655,run_041,0.07752568099976997,gps_noise_300m,41,1.2627873209095581
0.7292521280577575,0.7292521280577575,0,0,0.0,0.0,3,3,0.0,0.0,20.0,20.0,0.0,0.0,10.150943396226415,additive_cij_louvain_matched_density,15,15,1614.0,318,318,0,0,0.9125887204172105,0.9125887204172105,0.7498586239396796,0.7498586239396796,0.03202190345812749,run_041,0.0640508649998992,gps_noise_300m,41,0.7241405341019074
0.7753853459658873,0.7753853459658873,0,0,0.0,0.0,3,3,0.0,0.0,18.75,18.75,0.0,0.0,10.025157232704403,product_cij_leiden,16,16,1594.0,318,318,0,0,0.922378218764624,0.922378218764624,0.791624313884936,0.791624313884936,0.03162510168045553,run_041,0.04135577499982901,gps_noise_300m,41,0.1862264350048631
0.5672786259422422,0.5672786259422422,0,0,0.0,0.0,3,3,0.0,0.0,23.076923076923077,23.076923076923077,0.0,0.0,,geo_time_dbscan,13,13,,318,318,0,0,0.8670170281467564,0.8670170281467564,0.6049165935030728,0.6049165935030728,,run_041,0.00574178499982736,gps_noise_300m,41,1.0
0.7980322137963769,0.7980322137963769,0,0,0.0,0.0,3,3,0.0,0.0,18.75,18.75,0.0,0.0,9.930817610062894,product_cij_louvain,16,16,1579.0,318,318,0,0,0.9450892510976641,0.9450892510976641,0.8129793510324484,0.8129793510324484,0.03132750034720155,run_041,0.04807014600010007,time_noise_15min,41,0.24849351270803793
0.7980322137963769,0.7980322137963769,0,0,0.0,0.0,3,3,0.0,0.0,18.75,18.75,0.0,0.0,9.358490566037736,additive_cij_louvain,16,16,1488.0,318,318,0,0,0.9450892510976641,0.9450892510976641,0.8129793510324484,0.8129793510324484,0.029522052258794118,run_041,0.03174039099985748,time_noise_15min,41,1.5161782845910896
0.7980322137963769,0.7980322137963769,0,0,0.0,0.0,3,3,0.0,0.0,18.75,18.75,0.0,0.0,9.9874213836478,additive_cij_louvain_matched_density,16,16,1588.0,318,318,0,0,0.9450892510976641,0.9450892510976641,0.8129793510324484,0.8129793510324484,0.03150606114715394,run_041,0.03339418099994873,time_noise_15min,41,0.7236332602876345
0.7980322137963769,0.7980322137963769,0,0,0.0,0.0,3,3,0.0,0.0,18.75,18.75,0.0,0.0,9.930817610062894,product_cij_leiden,16,16,1579.0,318,318,0,0,0.9450892510976641,0.9450892510976641,0.8129793510324484,0.8129793510324484,0.03132750034720155,run_041,0.024733992000165017,time_noise_15min,41,0.24849351270803793
0.673897305575186,0.673897305575186,0,0,0.0,0.0,3,3,0.0,0.0,21.428571428571427,21.428571428571427,0.0,0.0,,geo_time_dbscan,14,14,,318,318,0,0,0.9024048249284098,0.9024048249284098,0.7003218702354734,0.7003218702354734,,run_041,0.0038635900000372203,time_noise_15min,41,1.0
0.7980322137963769,0.7980322137963769,0,0,0.0,0.0,3,3,0.0,0.0,18.75,18.75,0.0,0.0,9.89937106918239,product_cij_louvain,16,16,1574.0,318,318,0,0,0.9450892510976641,0.9450892510976641,0.8129793510324484,0.8129793510324484,0.031228299902783564,run_041,0.033178094000049896,time_noise_60min,41,0.18455612629708915
0.7960298892106372,0.7960298892106372,0,0,0.0,0.0,3,3,0.0,0.0,17.647058823529413,17.647058823529413,0.0,0.0,9.38993710691824,additive_cij_louvain,17,17,1493.0,318,318,0,0,0.942883284821984,0.942883284821984,0.811108922592082,0.811108922592082,0.02962125270321211,run_041,0.03336422100028358,time_noise_60min,41,1.3587996296666978
0.7405797443756105,0.7405797443756105,0,0,0.0,0.0,3,3,0.0,0.0,20.0,20.0,0.0,0.0,9.9937106918239,additive_cij_louvain_matched_density,15,15,1589.0,318,318,0,0,0.9260114102326589,0.9260114102326589,0.7606255749770009,0.7606255749770009,0.03152590123603754,run_041,0.0351708029998008,time_noise_60min,41,0.6718453472962033
0.7980322137963769,0.7980322137963769,0,0,0.0,0.0,3,3,0.0,0.0,18.75,18.75,0.0,0.0,9.89937106918239,product_cij_leiden,16,16,1574.0,318,318,0,0,0.9450892510976641,0.9450892510976641,0.8129793510324484,0.8129793510324484,0.031228299902783564,run_041,0.025700306999624445,time_noise_60min,41,0.18455612629708915
0.6152104617615141,0.6152104617615141,0,0,0.0,0.0,3,3,6.666666666666667,6.666666666666667,23.076923076923077,23.076923076923077,1.550387596899225,1.550387596899225,,geo_time_dbscan,13,13,,318,318,8,8,0.8687175874441584,0.8687175874441584,0.6474587245063127,0.6474587245063127,,run_041,0.00353641499987134,time_noise_60min,41,1.0
0.8444345102449343,0.8444345102449343,0,0,0.0,0.0,2,2,0.0,0.0,12.5,12.5,0.0,0.0,9.778523489932885,product_cij_louvain,16,16,1457.0,298,298,0,0,0.9586006007273327,0.9586006007273327,0.8556227327690447,0.8556227327690447,0.03292432151492554,run_042,0.02864231999956246,baseline,42,0.3445746213221754
0.8276450356552721,0.8276450356552721,0,0,0.0,0.0,2,2,0.0,0.0,10.0,10.0,0.0,0.0,8.006711409395972,additive_cij_louvain,20,20,1193.0,298,298,0,0,0.946619878080072,0.946619878080072,0.8399117430742828,0.8399117430742828,0.026958624274060514,run_042,0.0285287110000354,baseline,42,1.6254945019925966
0.8317346088836916,0.8317346088836916,0,0,0.0,0.0,2,2,0.0,0.0,12.5,12.5,0.0,0.0,9.697986577181208,additive_cij_louvain_matched_density,16,16,1445.0,298,298,0,0,0.9520410663612681,0.9520410663612681,0.8439000960614793,0.8439000960614793,0.032653153458522585,run_042,0.02928526999994574,baseline,42,0.8146507270984551
0.8444345102449343,0.8444345102449343,0,0,0.0,0.0,2,2,0.0,0.0,12.5,12.5,0.0,0.0,9.778523489932885,product_cij_leiden,16,16,1457.0,298,298,0,0,0.9586006007273327,0.9586006007273327,0.8556227327690447,0.8556227327690447,0.03292432151492554,run_042,0.021568465999735054,baseline,42,0.3445746213221754
0.38305410007805085,0.38305410007805085,0,0,0.0,0.0,2,2,0.0,0.0,20.0,20.0,0.0,0.0,,geo_time_dbscan,10,10,,298,298,0,0,0.786868381768883,0.786868381768883,0.44375311100049775,0.44375311100049775,,run_042,0.0034198200000901124,baseline,42,1.0
0.8458623388444598,0.8411180018208735,0,0,0.0,0.0,4,4,0.0,0.0,20.0,20.0,0.0,0.0,10.204697986577182,product_cij_louvain,20,20,3041.0,596,298,0,0,0.9418948797346155,0.9418948797346155,0.8560321715817694,0.8512877319302132,0.01715075291861711,run_042,0.0808313470001849,exact_transport_copy_2x,42,0.3572958000053008
0.8010830519456509,0.794710481962518,0,0,0.0,0.0,4,4,0.0,0.0,16.0,16.0,0.0,0.0,9.563758389261745,additive_cij_louvain,25,25,2850.0,596,298,0,0,0.9220624077348112,0.9220624077348112,0.8137336669446761,0.8073605520414031,0.016073543511364276,run_042,0.07964801499974783,exact_transport_copy_2x,42,1.6339278354127955
0.7536210258658562,0.7461985468295667,0,0,0.0,0.0,4,4,0.0,0.0,20.0,20.0,0.0,0.0,10.197986577181208,additive_cij_louvain_matched_density,20,20,3039.0,596,298,0,0,0.90649208427098,0.9064920842709798,0.770181435708651,0.762757871878393,0.017139473238960014,run_042,0.07811900200022137,exact_transport_copy_2x,42,0.820090761552849
0.8383232652185424,0.8333335716773004,0,0,0.0,0.0,4,4,0.0,0.0,20.0,20.0,0.0,0.0,10.204697986577182,product_cij_leiden,20,20,3041.0,596,298,0,0,0.9390788724929929,0.9390788724929929,0.8489653319000269,0.843975569128262,0.01715075291861711,run_042,0.059552092000103585,exact_transport_copy_2x,42,0.3572958000053008
0.3903392121745519,0.38305410007805085,0,0,0.0,0.0,2,2,0.0,0.0,20.0,20.0,0.0,0.0,,geo_time_dbscan,10,10,,596,298,0,0,0.7868683817688832,0.786868381768883,0.4518700183936235,0.44375311100049775,,run_042,0.007507950999752211,exact_transport_copy_2x,42,1.0
0.3435436240239238,0.2882184749608997,0,0,0.0,0.0,17,17,0.0,0.0,18.681318681318682,18.681318681318682,0.0,0.0,10.038926174496645,product_cij_louvain,91,91,7479.0,1490,298,0,0,0.7709659778330583,0.7709659778330586,0.36005868645896266,0.3027738598965679,0.006742059217257653,run_042,0.29751411099960023,exact_transport_copy_5x,42,0.3670900761051913
0.3446012074944971,0.289690260674103,0,0,0.0,0.0,17,17,0.0,0.0,18.27956989247312,18.27956989247312,0.0,0.0,9.985234899328859,additive_cij_louvain,93,93,7439.0,1490,298,0,0,0.7702605213859943,0.7702605213859945,0.3614830072090629,0.3046728971962617,0.006706000603981773,run_042,0.28980286999967575,exact_transport_copy_5x,42,1.6401951094442597
0.32295803329666034,0.26529478957314573,0,0,0.0,0.0,19,19,0.0,0.0,19.791666666666668,19.791666666666668,0.0,0.0,9.936912751677852,additive_cij_louvain_matched_density,96,96,7403.0,1490,298,0,0,0.7630989143336045,0.7630989143336047,0.33926080892608085,0.2794676806083651,0.00667354785203348,run_042,0.302851808000014,exact_transport_copy_5x,42,0.8233092710473631
